"plot","date","DHPLAI","LTLAI"
"LT11",2024-09-20,7.1830985915493,5.95437083333333
"LT11",2024-09-30,7.12307692307692,5.84898333333333
"LT11",2024-10-11,6.61428571428571,5.71470416666667
"LT11",2024-10-15,7.21428571428571,5.6850875
"LT11",2024-10-25,5.92307692307692,4.674175
"LT11",2024-11-12,2.04347826086956,1.56295416666667
"LT11",2024-12-02,0.594594594594595,0.0787166666666667
"LT11",2024-12-16,0.6,0
"LT12",2024-09-20,5.90243902439024,1.39654166666667
"LT12",2024-09-30,5.21428571428571,1.36257083333333
"LT12",2024-10-11,4.9,1.27430833333333
"LT12",2024-10-15,4.97619047619048,1.260275
"LT12",2024-10-25,5.725,0.962066666666667
"LT12",2024-11-12,5.97619047619048,0.741245833333333
"LT12",2024-12-02,6.58536585365854,0.0428083333333333
"LT12",2024-12-16,6.70731707317073,0
"LT13",2024-09-20,5.25,4.6644375
"LT13",2024-09-30,4.74,4.29152083333333
"LT13",2024-10-11,4.09803921568627,4.1385625
"LT13",2024-10-15,4.22448979591837,4.03525416666667
"LT13",2024-10-25,4.29411764705882,3.23684583333333
"LT13",2024-11-12,2.4375,1.55290833333333
"LT13",2024-12-02,0.454545454545455,0.06735
"LT13",2024-12-16,0.395348837209302,0
"LT14",2024-09-20,6.63934426229508,5.70555
"LT14",2024-09-30,5.69090909090909,5.5437125
"LT14",2024-10-11,4.67857142857143,4.86981666666667
"LT14",2024-10-15,4.89473684210526,4.71581666666667
"LT14",2024-10-25,3.16666666666667,2.7274
"LT14",2024-11-12,1.42307692307692,1.08722083333333
"LT14",2024-12-02,0.458333333333333,0.0743625
"LT14",2024-12-16,0.416666666666667,0
"LT21",2024-09-20,7.54929577464789,4.66585
"LT21",2024-09-30,5.22727272727273,4.50074583333333
"LT21",2024-10-11,5.06849315068493,4.296575
"LT21",2024-10-15,6.86363636363636,4.22139583333333
"LT21",2024-10-25,5.42307692307692,3.31364166666667
"LT21",2024-11-12,3.75675675675676,1.37755833333333
"LT21",2024-12-02,2.82758620689655,0.0462875
"LT21",2024-12-16,3.2,0
"LT22",2024-09-20,6.59090909090909,3.10162916666667
"LT22",2024-09-30,5.50819672131148,2.85582916666667
"LT22",2024-10-11,4.66666666666667,2.6212
"LT22",2024-10-15,5.49230769230769,2.56409166666667
"LT22",2024-10-25,5.83870967741935,1.9107
"LT22",2024-11-12,4.16326530612245,0.8379875
"LT22",2024-12-02,3.91891891891892,0.0401041666666667
"LT22",2024-12-16,4.57894736842105,0
"LT23",2024-09-20,5.65573770491803,4.85415416666667
"LT23",2024-09-30,4.71428571428571,4.6520625
"LT23",2024-10-11,4.35593220338983,4.45590416666667
"LT23",2024-10-15,4.9016393442623,4.3471625
"LT23",2024-10-25,3.82,3.3864625
"LT23",2024-11-12,2.8,1.57947916666667
"LT23",2024-12-02,0.566666666666667,0.0587458333333333
"LT23",2024-12-16,0.709677419354839,0
"LT24",2024-09-20,6.47619047619048,4.66370416666667
"LT24",2024-09-30,5.95081967213115,4.33255833333333
"LT24",2024-10-11,4.67241379310345,3.60811666666667
"LT24",2024-10-15,5.09375,3.3902875
"LT24",2024-10-25,3.20338983050847,2.073525
"LT24",2024-11-12,1.63414634146341,1.01734583333333
"LT24",2024-12-02,0.9,0.0168916666666667
"LT24",2024-12-16,0.636363636363636,0
"LT31",2024-09-20,6.73333333333333,4.19845833333333
"LT31",2024-09-30,4.44444444444444,4.1582
"LT31",2024-10-11,5.13846153846154,3.9527375
"LT31",2024-10-15,5.97014925373134,3.88887083333333
"LT31",2024-10-25,5.72307692307692,3.2247375
"LT31",2024-11-12,2.61428571428571,1.39807916666667
"LT31",2024-12-02,0.869565217391304,0.0347958333333333
"LT31",2024-12-16,1,0
"LT32",2024-09-20,5.24561403508772,2.07384166666667
"LT32",2024-09-30,4.39622641509434,1.98685
"LT32",2024-10-11,4.54385964912281,1.7396125
"LT32",2024-10-15,5.25,1.7297125
"LT32",2024-10-25,5.85245901639344,0.983241666666667
"LT32",2024-11-12,4.89655172413793,0.417445833333333
"LT32",2024-12-02,4.90909090909091,0.0194708333333333
"LT32",2024-12-16,5.53846153846154,0
"LT33",2024-09-20,7.05882352941176,5.40359166666667
"LT33",2024-09-30,5.375,5.1616375
"LT33",2024-10-11,4.37878787878788,5.0357375
"LT33",2024-10-15,4.8955223880597,4.84264166666667
"LT33",2024-10-25,3.05555555555556,2.82325
"LT33",2024-11-12,0.428571428571429,0.979133333333333
"LT33",2024-12-02,0.371428571428571,0.0189958333333333
"LT33",2024-12-16,0.470588235294118,0
"LT34",2024-09-20,7.14705882352941,4.4123625
"LT34",2024-09-30,6,4.24436666666667
"LT34",2024-10-11,5.26229508196721,3.9447375
"LT34",2024-10-15,6.12307692307692,3.90652083333333
"LT34",2024-10-25,5.74193548387097,2.9836375
"LT34",2024-11-12,2.82692307692308,1.28145
"LT34",2024-12-02,1.25531914893617,0.088825
"LT34",2024-12-16,1.1304347826087,0
"LT41",2024-09-20,5.71428571428571,5.56122083333333
"LT41",2024-09-30,4.46376811594203,5.0445625
"LT41",2024-10-11,4.10606060606061,4.7548
"LT41",2024-10-15,4.41538461538462,4.68287916666667
"LT41",2024-10-25,4.265625,3.44145416666667
"LT41",2024-11-12,1.87037037037037,1.73947083333333
"LT41",2024-12-02,0.382978723404255,0.0874291666666667
"LT41",2024-12-16,0.408163265306122,0
"LT42",2024-09-20,4.14,1.78750416666667
"LT42",2024-09-30,4.30612244897959,1.712175
"LT42",2024-10-11,3.46808510638298,1.41819166666667
"LT42",2024-10-15,3.40816326530612,1.346825
"LT42",2024-10-25,4.3,1.0491875
"LT42",2024-11-12,4.54,0.877983333333333
"LT42",2024-12-02,4.90196078431373,0.0488
"LT42",2024-12-16,5.71153846153846,0
"LT43",2024-09-20,6.47887323943662,6.8992875
"LT43",2024-09-30,5.98461538461538,6.65701666666667
"LT43",2024-10-11,4.21428571428571,6.18799166666667
"LT43",2024-10-15,4.71428571428571,5.98065
"LT43",2024-10-25,4.35849056603774,3.678075
"LT43",2024-11-12,1.58490566037736,0.879258333333333
"LT43",2024-12-02,1.02857142857143,0.0312916666666667
"LT43",2024-12-16,1.45454545454545,0
"LT44",2024-09-20,5.8955223880597,5.14202916666667
"LT44",2024-09-30,3.86567164179104,4.64162916666667
"LT44",2024-10-11,3.24193548387097,4.08085416666667
"LT44",2024-10-15,3.359375,3.95249583333333
"LT44",2024-10-25,1.91666666666667,2.7344375
"LT44",2024-11-12,0.735294117647059,0.946883333333333
"LT44",2024-12-02,0.333333333333333,0.029375
"LT44",2024-12-16,0.527777777777778,0
"LT51",2024-09-20,5.65151515151515,5.34618333333333
"LT51",2024-09-30,4.17460317460317,5.24825416666667
"LT51",2024-10-11,4.11111111111111,5.005575
"LT51",2024-10-15,4.15625,4.95369166666667
"LT51",2024-10-25,3.8,3.66655833333333
"LT51",2024-11-12,2.01960784313725,1.86015833333333
"LT51",2024-12-02,0.258064516129032,0.0665791666666667
"LT51",2024-12-16,0.447368421052632,0
"LT52",2024-09-20,4.77777777777778,5.4760125
"LT52",2024-09-30,2.66666666666667,5.35247083333333
"LT52",2024-10-11,3.40909090909091,4.96230416666667
"LT52",2024-10-15,3.2,4.81091666666667
"LT52",2024-10-25,1.7962962962963,2.84485
"LT52",2024-11-12,0.588235294117647,0.903845833333333
"LT52",2024-12-02,0.260869565217391,0.0422708333333333
"LT52",2024-12-16,0.366666666666667,0
"LT53",2024-09-20,5.98333333333333,3.93944583333333
"LT53",2024-09-30,4.90909090909091,3.7686125
"LT53",2024-10-11,4.79661016949153,3.47820416666667
"LT53",2024-10-15,4.60714285714286,3.38282083333333
"LT53",2024-10-25,2.83673469387755,2.3819375
"LT53",2024-11-12,0.771428571428572,1.02975416666667
"LT53",2024-12-02,0.363636363636364,0.0205583333333333
"LT53",2024-12-16,0.666666666666667,0
"LT54",2024-09-20,5.58064516129032,3.577625
"LT54",2024-09-30,4.20689655172414,3.30605416666667
"LT54",2024-10-11,3.98305084745763,2.9816375
"LT54",2024-10-15,3.93103448275862,2.91701666666667
"LT54",2024-10-25,4.17543859649123,2.15964166666667
"LT54",2024-11-12,2,0.991804166666667
"LT54",2024-12-02,1.25925925925926,0.0771916666666667
"LT54",2024-12-16,1.75,0
"LT61",2024-09-20,6.04615384615385,5.57244583333333
"LT61",2024-09-30,5.41666666666667,5.53454583333333
"LT61",2024-10-11,5.01612903225806,5.40595
"LT61",2024-10-15,5.20338983050847,5.3527375
"LT61",2024-10-25,4.12962962962963,4.15035416666667
"LT61",2024-11-12,0.689655172413793,1.27545
"LT61",2024-12-02,0.547619047619048,0.039075
"LT61",2024-12-16,0.4,0
"LT62",2024-09-20,5.52941176470588,6.59619583333333
"LT62",2024-09-30,6.14893617021277,6.50366666666667
"LT62",2024-10-11,5.41666666666667,6.21625416666667
"LT62",2024-10-15,5.25531914893617,5.97975416666667
"LT62",2024-10-25,2.60975609756098,3.22203333333333
"LT62",2024-11-12,0.0555555555555556,0.9283
"LT62",2024-12-02,0.470588235294118,0.0349291666666667
"LT62",2024-12-16,0.4,0
"LT63",2024-09-20,5.46774193548387,5.08278333333333
"LT63",2024-09-30,4.6969696969697,4.96513333333333
"LT63",2024-10-11,4.0655737704918,4.64135416666667
"LT63",2024-10-15,4.08333333333333,4.48288333333333
"LT63",2024-10-25,3.02777777777778,2.97000416666667
"LT63",2024-11-12,0.95,0.8012625
"LT63",2024-12-02,0.452380952380952,0.0282875
"LT63",2024-12-16,0.595238095238095,0
"LT64",2024-09-20,6.72727272727273,1.7162875
"LT64",2024-09-30,5.03636363636364,1.61249583333333
"LT64",2024-10-11,4.875,1.4513375
"LT64",2024-10-15,5,1.40434583333333
"LT64",2024-10-25,5.43137254901961,1.099125
"LT64",2024-11-12,3.30555555555556,0.442983333333333
"LT64",2024-12-02,3.41666666666667,0.014975
"LT64",2024-12-16,3.42307692307692,0
